"","index","group","itemno","item","N","Categ","AbsFreq","RelFreq","rpb.WLE","M.WLE","SD.WLE"
"1",1,1,1,"1",290,"0",0,0,-0.575521146457896,-0.167165388691509,1.98052421031543
"2",2,1,1,"1",290,"1",0,0,0.575521146457896,2.2446694050229,1.19583277646484
"3",3,1,2,"2",290,"0",0,0,-0.605580969423598,-0.129822244400751,1.93762332839372
"4",4,1,2,"2",290,"1",0,0,0.605580969423598,2.30915753456783,1.12594250600467
"5",5,1,3,"3",290,"0",0,0,-0.593101052533676,-0.573180104984129,2.04350993543745
"6",6,1,3,"3",290,"1",0,0,0.593101052533676,2.18282919943871,1.20665816127309
"7",7,1,4,"4",290,"0",0,0,-0.596212945666014,-0.346427835399498,2.0079179173102
"8",8,1,4,"4",290,"1",0,0,0.596212945666014,2.23530881183297,1.17109812460078
"9",9,1,5,"5",290,"0",0,0,-0.528367372185959,-0.151037015593917,2.06160064280538
"10",10,1,5,"5",290,"1",0,0,0.528367372185959,2.1698270112247,1.27124340967064
"11",11,1,6,"6",290,"0",0,0,-0.587049719812949,-0.642785272573282,2.05315949979264
"12",12,1,6,"6",290,"1",0,0,0.587049719812949,2.16147290103007,1.22747922153891
"13",13,1,7,"7",290,"0",0,0,-0.605084338986366,-0.204114358158852,1.92685475547339
"14",14,1,7,"7",290,"1",0,0,0.605084338986366,2.28679843347041,1.15125914396918
"15",15,1,8,"8",290,"0",0,0,-0.588498829553903,-0.5853734657957,2.07103313854763
"16",16,1,8,"8",290,"1",0,0,0.588498829553903,2.1738197787534,1.21052675491181
"17",17,1,9,"9",290,"0",0,0,-0.556062679811067,-0.122135960041,2.05429894595564
"18",18,1,9,"9",290,"1",0,0,0.556062679811067,2.22272753885799,1.20241192764902
"19",19,1,10,"10",290,"0",0,0,-0.581705660542459,-0.558465738292056,2.12700350023709
"20",20,1,10,"10",290,"1",0,0,0.581705660542459,2.16887754308946,1.20425539644011
"21",21,1,11,"11",290,"0",0,0,-0.540361804962113,0.0882417937540474,1.96946254101756
"22",22,1,11,"11",290,"1",0,0,0.540361804962113,2.25334953990316,1.2253158746497
"23",23,1,12,"12",290,"0",0,0,-0.57955931041522,0.204963471421161,1.88803586516427
"24",24,1,12,"12",290,"1",0,0,0.57955931041522,2.37391800113786,1.12430639705157
"25",25,1,13,"13",290,"0",0,0,-0.59962189368777,0.0526972541775592,1.90197382391548
"26",26,1,13,"13",290,"1",0,0,0.59962189368777,2.35768240029157,1.10807648572903
"27",27,1,14,"14",290,"0",0,0,-0.571140715227935,-0.0231603742243718,1.99458492131694
"28",28,1,14,"14",290,"1",0,0,0.571140715227935,2.27711114307986,1.16349321686015
"29",29,1,15,"15",290,"0",0,0,-0.590670387530978,-0.32697913172943,2.03247020572817
"30",30,1,15,"15",290,"1",0,0,0.590670387530978,2.23075698756977,1.17135489161704
"31",31,1,16,"16",290,"0",0,0,-0.606932398197937,-0.0638410312881738,1.89152460367291
"32",32,1,16,"16",290,"1",0,0,0.606932398197937,2.33231394089149,1.12805975626353
"33",33,1,17,"17",290,"0",0,0,-0.610818368460842,-0.706108761527285,2.03246394988872
"34",34,1,17,"17",290,"1",0,0,0.610818368460842,2.18419847699584,1.18885277453978
"35",35,1,18,"18",290,"0",0,0,-0.612080137087886,-0.267540186669651,1.95189978561564
"36",36,1,18,"18",290,"1",0,0,0.612080137087886,2.28193882629094,1.135589960157
"37",37,1,19,"19",290,"0",0,0,-0.636742919471239,-0.488646542193159,1.96376529161007
"38",38,1,19,"19",290,"1",0,0,0.636742919471239,2.26859404108255,1.11061696548924
"39",39,1,20,"20",290,"0",0,0,-0.648133875222589,-0.636136974233954,1.98013804125936
"40",40,1,20,"20",290,"1",0,0,0.648133875222589,2.25392060886907,1.10117867471454
