"","xsi","se.xsi"
"1",0.0756260582474453,0.129522689536638
"2",0.286967839748774,0.126640577899494
"3",-0.413126771186179,0.136780706240359
"4",-0.0872546173920448,0.131866453541372
"5",-0.155604968613155,0.13287606413213
"6",-0.533736010016693,0.138646021806483
"7",0.16835809702263,0.128233689043873
"8",-0.452566396306153,0.137388952775425
"9",0.0439241184972228,0.129971336679457
"10",-0.452566396306153,0.137388952775425
"11",0.315802924594345,0.126263496534053
"12",0.74176069495077,0.121235571261739
"13",0.562740207321388,0.123217121618774
"14",0.286967839748774,0.126640577899494
"15",-0.0872546173920448,0.131866453541372
"16",0.400519241942734,0.125180408257307
"17",-0.49275775305884,0.138010627729096
"18",0.106922685903003,0.129083668534198
"19",-0.0872546173920448,0.131866453541372
